Nom premier hôtel,Phone number,Google maps link,Adresse
Hotel New Otani Tokyo Garden Tower,03-3265-1111,https://maps.google.com/?cid=3421713921720380382,"Japan, 〒102-8578 Tokyo, Chiyoda City, Kioichō, 4−１ New Otani Garden Tower, ホテル"
Dai-ichi Hotel Ryogoku,03-5611-5211,https://maps.google.com/?cid=2537143897439569942,"Japan, 〒130-0015 Tokyo, Sumida City, Yokoami, 1-chōme−6−１ 第一ホテル両国"
Tokyu Stay Ikebukuro,03-3984-1091,https://maps.google.com/?cid=15702724757061183591,"2-chōme-12-2 Ikebukuro, Toshima City, Tokyo 171-0014, Japan"
TOKYU STAY Kyoto Sanjo-Karasuma,075-221-0109,https://maps.google.com/?cid=9040555948321412019,"392 Kakimotochō, Nakagyo Ward, Kyoto, 604-8173, Japan"
Kyoto Tokyu Hotel,075-341-2411,https://maps.google.com/?cid=2398164628489760369,"580 Kakimotochō, Shimogyo Ward, Kyoto, 600-8357, Japan"
Hotel Legasta - Higashiyama Sanjo,075-600-2550,https://maps.google.com/?cid=2223232968500860743,"49 Saikaishichō, Higashiyama Ward, Kyoto, 605-0012, Japan"
MeguroHoric Hotel,03-6420-0139,https://maps.google.com/?cid=10019918665408582796,"1-chōme-3-14 Meguro, Meguro City, Tokyo 153-0063, Japan"
HOTEL GRACERY ASAKUSA,03-6632-8981,https://maps.google.com/?cid=15804147311331525397,"2-chōme-10-2 Kaminarimon, Taito City, Tokyo 111-0034, Japan"
HOTEL GRAPHY NEZU,050-3138-2628,https://maps.google.com/?cid=6955171263224555104,"4-chōme-5-10 Ikenohata, Taito City, Tokyo 110-0008, Japan"
Hotel Hokke Club Osaka,06-6313-3171,https://maps.google.com/?cid=15026288433703440767,"12-19 Toganochō, Kita Ward, Osaka, 530-0056, Japan"
HOTEL ALL IN TOKYO ASAKUSABASHI ホテルオールイン東京浅草橋,03-3866-5530,https://maps.google.com/?cid=16856737163193050295,"4-chōme-3-3 Asakusabashi, Taito City, Tokyo 111-0053, Japan"
Hotel Yaenomidori Tokyo,03-6263-2020,https://maps.google.com/?cid=15945359261433757087,"Japan, 〒104-0032 Tokyo, Chuo City, Hatchōbori, 2-chōme−13−１ １４F"
the b Ginza,03-3543-1200,https://maps.google.com/?cid=5414376355423638243,"Japan, 〒104-0061 Tokyo, Chuo City, Ginza, 8-chōme−12−１３ the b ginza 1F"
Hotel Keihan Namba Grande,06-6646-0321,https://maps.google.com/?cid=14759403820646305366,"2-chōme-11-13 Nanbanaka, Naniwa Ward, Osaka, 556-0011, Japan"
Palace Hotel Tokyo,03-3211-5211,https://maps.google.com/?cid=1748987416538389436,"1-chōme-1-1 Marunouchi, Chiyoda City, Tokyo 100-0005, Japan"
Sotetsu Grand Fresa Takadanobaba,03-5291-8203,https://maps.google.com/?cid=12136263278537835856,"1-chōme-27-7 Takadanobaba, Shinjuku City, Tokyo 169-0075, Japan"
ANA InterContinental Tokyo by IHG,03-3505-1111,https://maps.google.com/?cid=7608217311535793583,"1-chōme-12-33 Akasaka, Minato City, Tokyo 107-0052, Japan"
VESSEL INN SHINSAIBASHI,06-6282-0303,https://maps.google.com/?cid=16898190510098572789,"2-chōme-12-11 Minamisenba, Chuo Ward, Osaka, 542-0081, Japan"
Daiwa Roynet Hotel Nishi-Shinjuku Premier,03-5909-8480,https://maps.google.com/?cid=17220133125875812100,"6-chōme-12-39 Nishishinjuku, Shinjuku City, Tokyo 160-0023, Japan"
Shinjuku Granbell Hotel,03-5155-2666,https://maps.google.com/?cid=16069024432421211389,"2-chōme-14-5 Kabukichō, Shinjuku City, Tokyo 160-0021, Japan"
Shibuya Tobu Hotel,03-3476-0111,https://maps.google.com/?cid=8630401815959937227,"Japan, 〒150-0042 Tokyo, Shibuya, Udagawachō, 3−３ ホーム 1"
MIMARU KYOTO KAWARAMACHI GOJO,075-744-6750,https://maps.google.com/?cid=11156152054423249623,"17-1 Hiraichō, Shimogyo Ward, Kyoto, 600-8118, Japan"
Hotel Jal City Nagoya Nishiki,052-204-2580,https://maps.google.com/?cid=15105044411469610137,"1-chōme-16-36 Nishiki, Naka Ward, Nagoya, Aichi 460-0003, Japan"
THE MACHIYA EBISUYA,075-365-2333,https://maps.google.com/?cid=9639633996698576107,"192-1 Ebisuyachō, Shimogyo Ward, Kyoto, 600-8062, Japan"
Pullman Tokyo Tamachi,03-6400-5855,https://maps.google.com/?cid=7816644133335073092,"Japan, 〒108-0023 Tokyo, Minato City, Tokyo3-chōme−1−２１ Shibaura Minato"
Comfort Hotel Kyoto Horikawagojo,075-361-7411,https://maps.google.com/?cid=17823135621636469425,"134-32 Sensuichō, Shimogyo Ward, Kyoto, 600-8338, Japan"
Nagoya Tokyu Hotel,052-251-2411,https://maps.google.com/?cid=7825943942361778607,"4-chōme-6-8 Sakae, Naka Ward, Nagoya, Aichi 460-0008, Japan"
Miyako Hotel Hakata,092-441-3111,https://maps.google.com/?cid=8104812217387566281,"2-chōme-1-1 Hakataekihigashi, Hakata Ward, Fukuoka, 812-0013, Japan"
Hotel Oriental Express Osaka Shinsaibashi,06-6243-8111,https://maps.google.com/?cid=13170939841258288597,"3-chōme-2-13 Minamisenba, Chuo Ward, Osaka, 542-0081, Japan"
Andaz Tokyo Toranomon Hills,03-6830-1234,https://maps.google.com/?cid=17046648933859780632,"Toranomon Hills Mori Tower 51st Floor, １丁目-２３-4 虎ノ門 港区 東京都 105-0001, Japan"
Hilton Tokyo Odaiba,03-5500-5500,https://maps.google.com/?cid=11304485763304987514,"1-chōme-9-1 Daiba, Minato City, Tokyo 135-8625, Japan"
Henn na Hotel Tokyo Asakusabashi,050-5894-3780,https://maps.google.com/?cid=4662744355777102674,"1-chōme-10-5 Asakusabashi, Taito City, Tokyo 111-0053, Japan"
Kanazawa Chaya Ryokan,0120-378-223,https://maps.google.com/?cid=9073569607537610153,"2-chōme-17-21 Honmachi, Kanazawa, Ishikawa 920-0853, Japan"
Tokyo Dome Hotel,03-5805-2111,https://maps.google.com/?cid=2767018623594383164,"1-chōme-3-61 Kōraku, Bunkyo City, Tokyo 112-8562, Japan"
横綱 Hotel - Stay SAKURA Tokyo Asakusa,050-2018-7882,https://maps.google.com/?cid=1743112617387367769,"Japan, 〒111-0032 Tokyo, Taito City, Asakusa, 3-chōme−30−５ 九重ビル"
KOKO HOTEL Osaka Shinsekai,06-6575-9290,https://maps.google.com/?cid=71738715316642889,"3-chōme-6-16 Ebisuhigashi, Naniwa Ward, Osaka, 556-0002, Japan"
THE BLOSSOM HAKATA Premier,092-431-8702,https://maps.google.com/?cid=12694098749512981652,"2-chōme-8-12 Hakata Ekimae, Hakata Ward, Fukuoka, 812-0011, Japan"
LANDABOUT TOKYO,03-6802-4431,https://maps.google.com/?cid=2963778693379446930,"Japan, 〒110-0003 Tokyo, Taito City, Negishi, 3-chōme−4−５ ランダバウト東京 1階"
The Lively Osaka Honmachi,050-3138-1988,https://maps.google.com/?cid=15782742866602751444,"1-chōme-5-11 Minamihonmachi, Chuo Ward, Osaka, 541-0054, Japan"
Hyatt Regency Kyoto,075-541-1234,https://maps.google.com/?cid=7917163248226716219,"644-2 Sanjūsangendōmawari, Higashiyama Ward, Kyoto, 605-0941, Japan"
Hotel Granvia Kyoto,075-344-8888,https://maps.google.com/?cid=12942737089437498338,"JR京都駅 Central Entrance, Higashishiokōjichō, Shimogyo Ward, Kyoto, 600-8216, Japan"
Hotel Monterey Grasmere Osaka,06-6645-7111,https://maps.google.com/?cid=11801764483374970226,"1-chōme-2-3 Minatomachi, Naniwa Ward, Osaka, 556-0017, Japan"
HOSHINOYA Tokyo,050-3134-8091,https://maps.google.com/?cid=452005950262881873,"1-chōme-9-1 Ōtemachi, Chiyoda City, Tokyo 100-0004, Japan"
Best Western Plus Fukuoka Tenjin-minami,092-718-7700,https://maps.google.com/?cid=16738724378468873467,"3-chōme-13-19 Haruyoshi, Chuo Ward, Fukuoka, 810-0003, Japan"
Hotel Alps,06-6634-5489,https://maps.google.com/?cid=10671335306596613465,"Japan, 〒542-0075 Osaka, Chuo Ward, Nanbasennichimae, 2−２５ ホテルアルプス"
Momiji-ya Annex Kawa-no-Iori,075-871-1005,https://maps.google.com/?cid=10416447265448046985,"Umegahata Nishinohatacho, Ukyo Ward, Kyoto, 616-8289, Japan"
Utano Youth Hostel,075-462-2288,https://maps.google.com/?cid=10955663731743392633,"Japan, 〒616-8191 Kyoto, Ukyo Ward, Uzumasa Nakayamachō, 29−２９ 京都／宇多野ユースホステル"
Hotel ARU Kyoto Sanjo Kiyamachi-dori,075-252-2207,https://maps.google.com/?cid=13647624096483962562,"48番地 Daikokuchō, Nakagyo Ward, Kyoto, 604-8031, Japan"
KOKO HOTEL Asakusa Komagata,03-6777-1188,https://maps.google.com/?cid=6278027637385623405,"2-chōme-7-5 Komagata, Taito City, Tokyo 111-0043, Japan"
Eurl Morvan Eric,06 18 96 59 94,https://maps.google.com/?cid=11690423130821053467,"11 Kergac, 29800 Saint-Thonan, France"
Via Inn Hiroshima Shinkansenguchi,082-568-5489,https://maps.google.com/?cid=15124145118521555332,"1-6 Matsubarachō, Minami Ward, Hiroshima, 732-0822, Japan"
ONSEN RYOKAN YUEN SHINJUKU,03-5361-8355,https://maps.google.com/?cid=15089180874106300711,"Japan, 〒160-0022 Tokyo, Shinjuku City, Shinjuku, 5-chōme−3−１８ 1F"
Kaneyoshi Ryokan,06-6211-6337,https://maps.google.com/?cid=17562356394521402662,"3-12 Souemonchō, Chuo Ward, Osaka, 542-0084, Japan"
Hashidate Bay Hotel,0772-46-6100,https://maps.google.com/?cid=14856344878734675986,"Japan, 〒629-2262 Kyoto, Yoza District, Yosano, Iwataki, ６８ 1F"
Sotetsu Fresa Inn Higashi-Shinjuku Ekimae,03-6892-2032,https://maps.google.com/?cid=14341387700799815479,"7-chōme-27-9 Shinjuku, Shinjuku City, Tokyo 160-0022, Japan"
Hotel Vista Sendai,022-385-6222,https://maps.google.com/?cid=12280096353435204907,"1-chōme-7-3 Tsutsujigaoka, Miyagino Ward, Sendai, Miyagi 983-0852, Japan"
DoubleTree by Hilton Kyoto Higashiyama,075-533-7070,https://maps.google.com/?cid=14994764279266727316,"1-chōme-45 Honmachi, Higashiyama Ward, Kyoto, 605-0981, Japan"
Itsukushima Iroha,0829-44-0168,https://maps.google.com/?cid=4163207993789114363,"589-4 Miyajimachō, Hatsukaichi, Hiroshima 739-0559, Japan"
Conrad Tokyo,03-6388-8000,https://maps.google.com/?cid=418504163438518498,"1-chōme-9-1 Higashishinbashi, Minato City, Tokyo 105-7337, Japan"
Shikitei,0742-22-5531,https://maps.google.com/?cid=4636571114560635757,"1163 Takabatakechō, Nara, 630-8301, Japan"
MIMARU TOKYO IKEBUKURO,03-5927-8877,https://maps.google.com/?cid=244788874131458442,"2-chōme-61-1 Ikebukuro, Toshima City, Tokyo 171-0014, Japan"
M's Hotel Kyoto Station Taruya,075-320-4137,https://maps.google.com/?cid=9016844435437676480,"381 Taruyachō, Shimogyo Ward, Kyoto, 600-8264, Japan"
Henna Hotel Fukuoka Hakata,050-5576-8380,https://maps.google.com/?cid=17632509070956093816,"5-chōme-4-19 Nakasu, Hakata Ward, Fukuoka, 810-0801, Japan"
the b akasaka,03-3586-0811,https://maps.google.com/?cid=4804467340798779371,"7-chōme-6-13 Akasaka, Minato City, Tokyo 107-0052, Japan"
Ibis Styles Tokyo Ginza East,03-3555-1230,https://maps.google.com/?cid=15087794101678190341,"Japan, 〒104-0041 Tokyo, Chuo City, Tokyo1-chōme−2−１３ Shintomi Chuo"
The Royal Park Canvas- Ginza Corridor,03-3573-1121,https://maps.google.com/?cid=9826485805895510751,"6-chōme-2-11 Ginza, Chuo City, Tokyo 104-0061, Japan"
lyf Tenjin Fukuoka,092-753-8695,https://maps.google.com/?cid=10278353110004852555,"Japan, 〒810-0021 Fukuoka, Chuo Ward, Imaizumi, 1-chōme−2−１３ 3F"
Ryokan Wakaba,0967-44-0500,https://maps.google.com/?cid=559260559974081118,"6431 Manganji, Minamioguni, Aso District, Kumamoto 869-2402, Japan"
Hotel Risveglio Akasaka,03-5549-2150,https://maps.google.com/?cid=6954252613220188327,"Japan, 〒107-0052 Tokyo, Minato City, Akasaka, 3-chōme−18−１ ホテルリズベリオ赤坂 １階"
OMO5 Tokyo Gotanda by Hoshino Resorts,050-3134-8095,https://maps.google.com/?cid=1597647237912251922,"8-chōme-4-13 Nishigotanda, Shinagawa City, Tokyo 141-0031, Japan"
OMO3 Asakusa by Hoshino Resorts,050-3134-8095,https://maps.google.com/?cid=16430815426086328946,"1-chōme-15-5 Hanakawado, Taito City, Tokyo 111-0033, Japan"
MIMARU Tokyo Ueno Inaricho,03-5246-4637,https://maps.google.com/?cid=14433516316581354060,"5-chōme-8-2 Higashiueno, Taito City, Tokyo 110-0015, Japan"
OMO3 Tokyo Akasaka by Hoshino Resorts,050-3134-8095,https://maps.google.com/?cid=5458771663436051778,"4-chōme-3-2 Akasaka, Minato City, Tokyo 107-0052, Japan"
The Gate Hotel Ryogoku by HULIC,03-5637-7041,https://maps.google.com/?cid=8754763629832269849,"1-chōme-2-13 Yokoami, Sumida City, Tokyo 130-0015, Japan"
Rakuten STAY 博多祇園,03-4405-0568,https://maps.google.com/?cid=14590199482716032053,"12-31 Kamigofukumachi, Hakata Ward, Fukuoka, 812-0036, Japan"
Onyado Nono Asakusa Bettei,03-5830-0130,https://maps.google.com/?cid=13268580857223876859,"2-chōme-7-26 Asakusa, Taito City, Tokyo 111-0032, Japan"
Moxy Osaka Umeda,06-6743-4971,https://maps.google.com/?cid=7236521640553312355,"7-chōme-22-1 Fukushima, Fukushima Ward, Osaka, 553-0003, Japan"
The Aoyama Grand Hotel,03-6271-5430,https://maps.google.com/?cid=15600523282071752678,"2-chōme-14-4 Kitaaoyama, Minato City, Tokyo 107-0061, Japan"
Mitsui Garden Hotel Jingugaien Tokyo PREMIER,03-5786-1531,https://maps.google.com/?cid=6116133225787996199,"11-3 Kasumigaokamachi, Shinjuku City, Tokyo 160-0013, Japan"
MIMARU Osaka Namba North,06-6648-8730,https://maps.google.com/?cid=10110503516046307181,"1-chōme-2-10 Minamihorie, Nishi Ward, Osaka, 550-0015, Japan"
Belken Hotel - Kanda,03-3254-1115,https://maps.google.com/?cid=5114227335264486656,"Japan, 〒101-0041 Tokyo, Chiyoda City, Kanda Sudachō, 1-chōme−4−７ ベルケンホテル神田"
La'gent Hotel Osaka Bay,06-4804-1771,https://maps.google.com/?cid=7430931585443688039,"1-chōme-1-57 Sakurajima, Konohana Ward, Osaka, 554-0031, Japan"
Ohashikan,0852-21-5168,https://maps.google.com/?cid=10225568648042875007,"Japan, 〒690-0843 Shimane, Matsue, Suetsuguhonmachi, ４０−４０"
The Royal Park Hotel Tokyo Shiodome,03-6253-1111,https://maps.google.com/?cid=12287529666164752058,"1-chōme-6-3 Higashishinbashi, Minato City, Tokyo 105-8333, Japan"
MIMARU Osaka Namba Station,06-6567-8237,https://maps.google.com/?cid=2372471974843682160,"3-chōme-6-24 Nipponbashi, Naniwa Ward, Osaka, 556-0005, Japan"
Marunouchi Hotel,03-3217-1111,https://maps.google.com/?cid=12010051897707772702,"1-chōme-6-3 Marunouchi, Chiyoda City, Tokyo 100-0005, Japan"
Isaribi-no-Yado Seaside Kancho,073-444-0111,https://maps.google.com/?cid=2088939317410278843,"82 Tano, Wakayama, 641-0061, Japan"
TRUNK(HOTEL),03-5766-3210,https://maps.google.com/?cid=5099426282963219760,"5-chōme-31-31 Jingūmae, Shibuya, Tokyo 150-0001, Japan"
House Ikebukuro,03-3984-3399,https://maps.google.com/?cid=5892167672984103922,"2-chōme-20-1 Ikebukuro, Toshima City, Tokyo 171-0014, Japan"
illi Lay Shibuya-Ebisu,050-1720-7210,https://maps.google.com/?cid=7001338132437309132,"Japan, 〒150-0011 Tokyo, Shibuya, Higashi, 3-chōme−23−４ ゼネラルビル渋谷東 3F"
The Centurion Hotel Classic Akasaka,03-5545-5571,https://maps.google.com/?cid=6608485276287767521,"3-chōme-11-8 Akasaka, Minato City, Tokyo 107-0052, Japan"
Nohga Hotel Kiyomizu Kyoto,075-323-7120,https://maps.google.com/?cid=183515106079291006,"4-chōme-450-1 Gojōbashihigashi, Higashiyama Ward, Kyoto, 605-0846, Japan"
karaksa hotel TOKYO STATION,03-3243-6602,https://maps.google.com/?cid=7483644386499166747,"1-chōme-5-3 Yaesu, Chuo City, Tokyo 103-0028, Japan"
remm AKIHABARA,03-3254-0606,https://maps.google.com/?cid=18100256653819820073,"1-chōme-6-5 Kanda Sakumachō, Chiyoda City, Tokyo 101-0025, Japan"
MIMARU Kyoto Nijo Castle,075-585-5516,https://maps.google.com/?cid=12880533698512465446,"249 Tsuboyachō, Nakagyo Ward, Kyoto, 604-8255, Japan"
hotel MONday Premium Ueno Okachimachi,03-5816-8681,https://maps.google.com/?cid=7510929976068697801,"3-chōme-41-7 Taitō, Taito City, Tokyo 110-0016, Japan"
Apa Hotel Asakusa Kaminarimon Minami,0570-023-411,https://maps.google.com/?cid=12283674744383476820,"2-chōme-9-1 Kaminarimon, Taito City, Tokyo 111-0034, Japan"
Kitahama Sumiyoshi,087-821-1810,https://maps.google.com/?cid=2599607453782231658,"5-15 Kitahamachō, Takamatsu, Kagawa 760-0031, Japan"
APA Hotel Ueno Inaricho-Eki-Kita,0570-021-511,https://maps.google.com/?cid=2619536592028871900,"5-chōme-10-8 Higashiueno, Taito City, Tokyo 110-0015, Japan"
OMO5 Kyoto Sanjo by Hoshino Resorts,050-3134-8095,https://maps.google.com/?cid=5741580188896241470,"434-1 Ebisuchō, Nakagyo Ward, Kyoto, 604-8005, Japan"
Hotel Universal Port,050-1792-7748,https://maps.google.com/?cid=15398724847078069765,"Hotel Universal Port, 1-chōme-1-111 Sakurajima, Konohana Ward, Osaka, 554-0031, Japan"
Kyoto Brighton Hotel,075-441-4411,https://maps.google.com/?cid=16704327736106997773,"330 Shiteichō, Kamigyo Ward, Kyoto, 602-8071, Japan"
Mitsui Garden Hotel Kyōto Shijō,075-361-5531,https://maps.google.com/?cid=7588356416758709576,"707-1 Myōdenjichō, Shimogyo Ward, Kyoto, 600-8472, Japan"
Waseda Daigaku-mae Post Office,03-3203-5530,https://maps.google.com/?cid=6214074619503142977,"Japan, 〒162-0041 東京都新宿区早稲田鶴巻町５３３"
Minato Shirokanedai Post Office,03-3441-9838,https://maps.google.com/?cid=3037192122117726703,"3-chōme-2-10 Shirokanedai, Minato City, Tokyo 108-0071, Japan"
Akihabara Washington Hotel,03-3255-3311,https://maps.google.com/?cid=3197174537530999417,"Japan, 〒101-0025 Tokyo, Chiyoda City, Kanda Sakumachō, 1-chōme−８−３"
Gion Misen,075-525-7035,https://maps.google.com/?cid=2786338106766236133,"219-2 Nishinochō, Higashiyama Ward, Kyoto, 605-0088, Japan"
"Hotel Indigo Nagasaki Glover Street, an IHG Hotel",095-895-9510,https://maps.google.com/?cid=12436252807261624389,"12-17 Minamiyamatemachi, Nagasaki, 850-0931, Japan"
Quintessa Hotel Tokyo Ginza,03-6264-1350,https://maps.google.com/?cid=1906417977957850164,"番4号, 4-chōme-11-11 Ginza, Chuo City, Tokyo 104-0061, Japan"
Cerulean Tower Tokyu Hotel,03-3476-3000,https://maps.google.com/?cid=9913510466022137652,"26-1 Sakuragaokachō, Shibuya, Tokyo 150-8512, Japan"
MIMARU Kyoto Shijo West (Formerly Known as MIMARU Kyoto Nishinotoin Takatsuji),075-744-6035,https://maps.google.com/?cid=11211588263275178335,"782 Honryūsuichō, Shimogyo Ward, Kyoto, 600-8462, Japan"
Nikko Hoshinoyado - Ryokan,0288-54-1105,https://maps.google.com/?cid=18119058349040511230,"1115 Kamihatsuishimachi, Nikko, Tochigi 321-1401, Japan"
S-peria Hotel Hakata,092-412-7272,https://maps.google.com/?cid=2467347307972641849,"2-chōme-11-4 Hakata Ekimae, Hakata Ward, Fukuoka, 812-0011, Japan"
Hotel JAL City Tokyo Toyosu,03-5962-4000,https://maps.google.com/?cid=8683056560468245237,"6-chōme-4-20 Toyosu, Koto City, Tokyo 135-0061, Japan"
All Day Place Shibuya,03-6452-6830,https://maps.google.com/?cid=13230716330100783547,"1-chōme-17-1 Shibuya, Tokyo 150-0002, Japan"
JR Inn Hakodate,0138-22-2333,https://maps.google.com/?cid=7462042706568881454,"12-14 Wakamatsuchō, Hakodate, Hokkaido 040-0063, Japan"
Hotel Sunroute Ginza,03-5579-9733,https://maps.google.com/?cid=18443228060374440932,"1-chōme-15-11 Ginza, Chuo City, Tokyo 104-0061, Japan"
Toshi Center Hotel,03-3265-8211,https://maps.google.com/?cid=7938955895640319958,"2-chōme-4-1 Hirakawachō, Chiyoda City, Tokyo 102-0093, Japan"
Shangri-La Tokyo,03-6739-7888,https://maps.google.com/?cid=10317474368570667506,"MARUNOUCHI TRUST TOWER MAIN, 1-chōme-8-3 Marunouchi, Chiyoda City, Tokyo 100-8283, Japan"
Hotel Route-inn Grand Tokyo-Asakusabashi,050-5864-0363,https://maps.google.com/?cid=17578208240484866647,"2-chōme-29-29番14号 Asakusabashi, Taito City, Tokyo 111-0053, Japan"
Hotel SUI Akasaka by ABEST,03-3585-8700,https://maps.google.com/?cid=14693261146275894809,"2-chōme-17-55 Akasaka, Minato City, Tokyo 107-0052, Japan"
YOTEL Tokyo Ginza,03-6274-6301,https://maps.google.com/?cid=16106272836888882331,"1-chōme-7-7 Shinbashi, Minato City, Tokyo 105-0004, Japan"
Shijo Kawaramachi Onsen Sora Niwa Terrace Kyoto,075-352-4000,https://maps.google.com/?cid=14008756460352383186,"324番地 Inarichō, Shimogyo Ward, Kyoto, 600-8022, Japan"
メルキュール東京日比谷,03-3503-5051,https://maps.google.com/?cid=1945403997496783269,"1-chōme-5-2 Uchisaiwaichō, Chiyoda City, Tokyo 100-0011, Japan"
hotel MONday AKIHABARA-ASAKUSABASHI,03-5835-3220,https://maps.google.com/?cid=2796218967226368424,"2-chōme-29-12 Asakusabashi, Taito City, Tokyo 111-0053, Japan"
VESSEL HOTEL CAMPANA KYOTO GOJO,075-353-1000,https://maps.google.com/?cid=14285234353003428871,"Japan, 〒600-8180 Kyoto, Shimogyo Ward, Shimomanjūjichō, 498番地"
Imperial Hotel Tokyo,03-3504-1111,https://maps.google.com/?cid=14282979487433625254,"1-chōme-1-1 Uchisaiwaichō, Chiyoda City, Tokyo 100-8558, Japan"
Candeo Hotels Ueno Koen,03-5808-6100,https://maps.google.com/?cid=9444096840103356849,"1-chōme-2-13 Negishi, Taito City, Tokyo 110-0003, Japan"
Hotel Gracery Osaka Namba,06-7639-9933,https://maps.google.com/?cid=2412365023949380360,"1-chōme-4-4 Motomachi, Naniwa Ward, Osaka, 556-0016, Japan"
KOKO HOTEL Hakata Shinkansenguchi,092-431-0111,https://maps.google.com/?cid=11801032136475374461,"1-chōme-17-17 Hakataekihigashi, Hakata Ward, Fukuoka, 812-0013, Japan"
Hotel Metropolitan Edmont,03-3237-1111,https://maps.google.com/?cid=1907153616724399869,"3-chōme-10-8 Iidabashi, Chiyoda City, Tokyo 102-8130, Japan"
THE MACHIYA EBISUYA,075-365-2333,https://maps.google.com/?cid=9639633996698576107,"192-1 Ebisuyachō, Shimogyo Ward, Kyoto, 600-8062, Japan"
MIMARU Tokyo Kinshicho,03-6659-6704,https://maps.google.com/?cid=5424502785856401123,"4-chōme-11-5 Kōtōbashi, Sumida City, Tokyo 130-0022, Japan"
Daiwa Roynet Hotel Nishi-Shinjuku Premier,03-5909-8480,https://maps.google.com/?cid=17220133125875812100,"6-chōme-12-39 Nishishinjuku, Shinjuku City, Tokyo 160-0023, Japan"
The International House of Japan,03-3470-4611,https://maps.google.com/?cid=9414788431418281938,"Japan, 〒106-0032 Tokyo, Minato City, Roppongi, 5-chōme−11−１６ 国際文化会館"
kyoto shinmachi rokkaku hotel grandereverie,075-211-1770,https://maps.google.com/?cid=11532476653562541443,"120 Tamakurachō, Nakagyo Ward, Kyoto, 604-8211, Japan"
Oakwood Hotel & Apartments Azabu Tokyo,03-6807-4906,https://maps.google.com/?cid=13347757557219901863,"3-chōme-10-5 Higashiazabu, Minato City, Tokyo 106-0044, Japan"
Hotel Forza Kanazawa,076-222-7411,https://maps.google.com/?cid=16033686053075870066,"Japan, 〒920-0854 Ishikawa, Kanazawa, Yasuechō, ２−１０"
MIMARU Kyoto Shinmachi Sanjo,075-606-5013,https://maps.google.com/?cid=14252535583798897126,"105 Machigashirachō, Nakagyo Ward, Kyoto, 604-8206, Japan"
Hotel Forza Kyoto Shijo Kawaramachi,075-254-8251,https://maps.google.com/?cid=6936176849887893271,"25-1 Tachiuri Higashimachi, Shimogyo Ward, Kyoto, 600-8005, Japan"
Kurashiki Kokusai Hotel,086-422-5141,https://maps.google.com/?cid=10181766844638474465,"1-chōme-1-44 Chūō, Kurashiki, Okayama 710-0046, Japan"
HOTEL RINGS KYOTO,075-746-2920,https://maps.google.com/?cid=278548942939375706,"393番地 Kabutoyachō, Nakagyo Ward, Kyoto, 604-8114, Japan"
Hotel Kanra Kyoto,075-344-3815,https://maps.google.com/?cid=10931872564241260997,"190 Kitamachi, Shimogyo Ward, Kyoto, 600-8176, Japan"
Via Inn Shinagawa Oimachi,03-5718-5489,https://maps.google.com/?cid=867922374715839442,"4-chōme-3-1 Ōi, Shinagawa City, Tokyo 140-0014, Japan"
MIMARU SUITES TOKYO NIHOMBASHI,03-6661-7821,https://maps.google.com/?cid=12692871806978298971,"2-chōme-10-9 Nihonbashihoridomechō, Chuo City, Tokyo 103-0012, Japan"
Miyajima Grand Hotel Arimoto,0829-44-2411,https://maps.google.com/?cid=5707279378417442278,"Japan, 〒739-0522 Hiroshima, Hatsukaichi, Miyajimachō, 南町３６４"
NextStage株式会社,06-6263-3700,https://maps.google.com/?cid=13712721028221496898,"Japan, 〒541-0057 Osaka, Chuo Ward, Kitakyūhōjimachi, 2-chōme−1−１０ SD 船場 ビル 4A"
APA Hotel Namba Shinsaibashi East,,https://maps.google.com/?cid=946145594871126472,"1-chōme-7-10 Higashishinsaibashi, Chuo Ward, Osaka, 542-0083, Japan"
KOKO HOTEL Premier Hakata,092-472-0211,https://maps.google.com/?cid=13228372355901185598,"ゲートスクエア博多駅前, 2-chōme-5-33 Hakataekihigashi, Hakata Ward, Fukuoka, 812-0013, Japan"
OMO3 Kyoto Toji by Hoshino Resorts,050-3134-8095,https://maps.google.com/?cid=1034891808857204813,"11-6 Nishikujō Zaōchō, Minami Ward, Kyoto, 601-8414, Japan"
MIMARU SUITES KYOTO SHIJO,075-366-2490,https://maps.google.com/?cid=12841187871251560116,"717-1 Inabadōchō, Shimogyo Ward, Kyoto, 600-8415, Japan"
Hotel Code Shinsaibashi,06-6243-7000,https://maps.google.com/?cid=10180426261003368976,"1-chōme-16-30 Higashishinsaibashi, Chuo Ward, Osaka, 542-0083, Japan"
Shibuya Hotel En,03-5489-1010,https://maps.google.com/?cid=7328280548971700962,"1-1 Maruyamachō, Shibuya, Tokyo 150-0044, Japan"
Hotel Tavinos Asakusa,03-6837-6867,https://maps.google.com/?cid=6405430809816395985,"2-chōme-18-8 Asakusa, Taito City, Tokyo 111-0032, Japan"
MIMARU TOKYO STATION EAST,03-6262-8221,https://maps.google.com/?cid=1549061946044142298,"1-chōme-12-8 Hatchōbori, Chuo City, Tokyo 104-0032, Japan"
W Osaka,06-6484-5355,https://maps.google.com/?cid=2705746213831136029,"4-chōme-1-3 Minamisenba, Chuo Ward, Osaka, 542-0081, Japan"
S-peria Inn Nihonbashi Hakozaki,03-3527-2007,https://maps.google.com/?cid=12465247095770665825,"4-9 Nihonbashinakasu, Chuo City, Tokyo 103-0008, Japan"
